,ratio,rndint,dataset,kernel,length_scale,nu,alpha,periodicity,rmse_test,mape_test,r2_test,rmse_interpolation,mape_interpolation,r2_interpolation
110,0.05,490.0,Sobol2,RQ,1.0,-,1.0,-,26.197337758674653,0.0234359334796828,0.94984160545254,20.358522407596983,0.0168235461351316,0.9505902086959536
111,0.05,490.0,Sobol2,ESS,1.0,-,-,1.0,675.9749243361806,0.9945808398311452,-32.39569454637526,679.2761832164215,0.9889040782912272,-54.00640803807695
112,0.05,395.0,Grid1296,RBF,1.0,-,-,-,23.21834734273458,0.0257209180226215,0.9194920708198784,433.1698955201564,0.5652088428566783,-17.043103587329014
113,0.05,395.0,Grid1296,Matern,1.0,1.5,-,-,7.071184536321311,0.0077875195593965,0.9925327551774262,67.64942377212704,0.061462267544073,0.5599288348892937
114,0.05,395.0,Grid1296,RQ,1.0,-,1.0,-,19.909353256683385,0.0182513546026144,0.940804273760252,49.98563731430717,0.058716381499288,0.7597379506389513
115,0.05,395.0,Grid1296,ESS,1.0,-,-,1.0,23.218345463856824,0.0257209155066318,0.9194920838496214,433.1698788896217,0.565208820126371,-17.043102201884388
116,0.05,395.0,Grid2401,RBF,1.0,-,-,-,96.22611727795817,0.0649570467707424,-1.0143966252053365,508.10095777423663,0.6992528864303952,-22.403997456884348
117,0.05,395.0,Grid2401,Matern,1.0,1.5,-,-,31.889114117885374,0.0188348530688813,0.778770025245155,37.331552492533625,0.0448754452553514,0.8736596378647727
118,0.05,395.0,Grid2401,RQ,1.0,-,1.0,-,20.38510162177994,0.0137834594124448,0.9095965879754644,87.87654986580642,0.0933045484428619,0.2999387961398578
119,0.05,395.0,Grid2401,ESS,1.0,-,-,1.0,96.22611693307182,0.0649570409851234,-1.014396610765642,508.10094364419,0.6992528647032005,-22.40399615517623
120,0.05,395.0,Sobol1,RBF,1.0,-,-,-,13.0919498435256,0.0134761584423219,0.987193735819577,23.509888999354686,0.0195292081862992,0.935799932924114
121,0.05,395.0,Sobol1,Matern,1.0,1.5,-,-,9.327630721135469,0.0089330354996926,0.9934993545600712,19.9965930251064,0.0157655273180543,0.9535542114959946
122,0.05,395.0,Sobol1,RQ,1.0,-,1.0,-,14.399266483942952,0.0139894182056978,0.9845084622606146,20.80418806287443,0.0172992804496665,0.9497268767896546
123,0.05,395.0,Sobol1,ESS,1.0,-,-,1.0,13.09194851625775,0.0134761570664026,0.9871937384161866,23.509887268567496,0.0195292066798507,0.9357999423768724
124,0.05,395.0,Sobol2,RBF,1.0,-,-,-,23.07529243290392,0.0223246330008026,0.9677887057318032,29.33397818621182,0.0226114464197429,0.8981197470742355
125,0.05,395.0,Sobol2,Matern,1.0,1.5,-,-,12.542639813778976,0.0133709609724205,0.9904831844971652,20.323755784615173,0.016116077767937,0.9510946895171056
126,0.05,395.0,Sobol2,RQ,1.0,-,1.0,-,19.752884775645168,0.0204448090277686,0.9763965868081438,19.940533782429007,0.0165765885069577,0.952921605441455
127,0.05,395.0,Sobol2,ESS,1.0,-,-,1.0,23.075287868403898,0.0223246279287107,0.9677887184751685,29.333973410460707,0.0226114420688901,0.8981197802476897
128,0.05,877.0,Grid1296,RBF,1.0,-,-,-,39.584340014994105,0.0311750474284257,0.6337689164520732,434.6626036230456,0.5677717486643078,-17.208298016833517
129,0.05,877.0,Grid1296,Matern,1.0,1.5,-,-,6.360972366557864,0.0073663499720637,0.9905429561462288,67.3732210335365,0.0609321177245753,0.562538920176676
130,0.05,877.0,Grid1296,RQ,1.0,-,1.0,-,13.375132007515669,0.0117606204035291,0.9581876536506452,49.678265324548335,0.0582880631126634,0.7621530185868325
131,0.05,877.0,Grid1296,ESS,1.0,-,-,1.0,38.70379539023473,0.0307816683698583,0.6498811483891167,428.9593426974535,0.5597064022651422,-16.733606238370676
132,0.05,877.0,Grid2401,RBF,1.0,-,-,-,115.44304965184844,0.0708767741285718,-1.598719661368226,512.564630893602,0.7064722229810037,-22.76063675506085
133,0.05,877.0,Grid2401,Matern,1.0,1.5,-,-,40.68871816931162,0.0165615851956496,0.6771715009192102,40.347898984262656,0.0484435815366424,0.8527678496009045
134,0.05,877.0,Grid2401,RQ,1.0,-,1.0,-,16.7213581567189,0.0125926516502037,0.9454786063361132,88.02337624377206,0.0935034610942349,0.2992600942618996
135,0.05,877.0,Grid2401,ESS,1.0,-,-,1.0,115.71608780789306,0.0705669644309362,-1.6110268330194164,512.0601016494908,0.7056590683636764,-22.71388348580351
136,0.05,877.0,Sobol1,RBF,1.0,-,-,-,12.147446737843463,0.0123833939748416,0.988291773815566,24.113568538770288,0.0198192344479317,0.9323765579073984
137,0.05,877.0,Sobol1,Matern,1.0,1.5,-,-,10.077816432751192,0.0100136503291035,0.9919415042065308,20.17479077381601,0.0158683589980785,0.9526639101939012
138,0.05,877.0,Sobol1,RQ,1.0,-,1.0,-,15.236448907949452,0.013719881937882,0.981580042828186,20.833729845881336,0.0172335091444511,0.9495212772154464
139,0.05,877.0,Sobol1,ESS,1.0,-,-,1.0,11.54220338948985,0.0118871146964132,0.9894294266903506,23.440793245989635,0.0191635874881531,0.9360973439093182
140,0.05,877.0,Sobol2,RBF,1.0,-,-,-,14.836717274655747,0.0148367150730044,0.9764092058665644,27.972385885188967,0.0221901138592096,0.9058832925249454
141,0.05,877.0,Sobol2,Matern,1.0,1.5,-,-,8.037247328335514,0.0086923424157801,0.9930772031914934,20.23447205702712,0.0160551367625658,0.9507516755588864
142,0.05,877.0,Sobol2,RQ,1.0,-,1.0,-,13.148578557804504,0.0131340762425483,0.9814721711727288,19.8851800558442,0.016506108425266,0.952437271601309
143,0.05,877.0,Sobol2,ESS,1.0,-,-,1.0,14.356766941755886,0.0145069669107494,0.9779107881888822,27.523546569168488,0.0217491968106306,0.9088794162861626
144,0.05,297.0,Grid1296,RBF,1.0,-,-,-,676.0609073545603,1.0,-72.17330654759992,679.2860762100878,1.0,-43.39118951756652
145,0.05,297.0,Grid1296,Matern,1.0,1.5,-,-,5.424277891482277,0.0067021914676096,0.9952895229303944,67.27653906572488,0.0608686062978768,0.564569705836955
146,0.05,297.0,Grid1296,RQ,1.0,-,1.0,-,12.069643885911407,0.0100875054242968,0.9766777769084534,49.53420086540414,0.0581236683446953,0.7639512640125903
147,0.05,297.0,Grid1296,ESS,1.0,-,-,1.0,621.412893634098,0.8982280328088831,-60.82178674827308,585.03885884725,0.7984920001818374,-31.92765357184528
148,0.05,297.0,Grid2401,RBF,1.0,-,-,-,710.9587385943217,1.0,-123.65995529491865,671.2710492092791,1.0,-39.82288148451677
149,0.05,297.0,Grid2401,Matern,1.0,1.5,-,-,21.791400675973744,0.0146508507953635,0.8828860940317734,40.04708935727368,0.0486019457733052,0.8547053124345272
150,0.05,297.0,Grid2401,RQ,1.0,-,1.0,-,12.567935895170171,0.0118306362464533,0.9610447417989028,87.8972537516644,0.0934177826062036,0.3000638340118734
151,0.05,297.0,Grid2401,ESS,1.0,-,-,1.0,585.636483395205,0.8057084182273981,-83.58520804637355,542.2092373217089,0.7247244286738536,-25.63432200797855
152,0.05,297.0,Sobol1,RBF,1.0,-,-,-,671.0844984156261,1.0,-28.650711615455123,683.3989705721885,1.0,-52.97819011416952
153,0.05,297.0,Sobol1,Matern,1.0,1.5,-,-,10.273349811994429,0.010300275296123,0.9930512792429952,20.275712025401827,0.0159753595394241,0.9524859657143268
