,ratio,rndint,dataset,kernel,mape_ist,r2_ist,mape_ost,r2_ost
187,0.05,16.0,Sobol2,Matern,0.016748631430670406,0.9644298214919984,0.01616854382099083,0.9494388655309388
188,0.05,16.0,Grid1296,RQ,0.006863649153312666,0.9853363807081605,0.05840253316032405,0.7652308525744475
189,0.05,16.0,Grid2401,RQ,0.017155006195619507,0.8035701934486583,0.09459065984553683,0.2957478246872359
190,0.05,16.0,Sobol1,RQ,0.011373024698261569,0.9847519950815011,0.01749751189487968,0.9476422228389988
191,0.05,16.0,Sobol2,RQ,0.02127151515735456,0.9462319178465604,0.01657661477482948,0.951754734051519
192,0.05,669.0,Grid1296,RBF,0.02297235875139071,0.9450644567422635,0.5757633918271722,-17.45877218369501
193,0.05,669.0,Grid2401,RBF,0.07123951325277852,-0.31366960681030154,0.7147478847648291,-22.81876877182993
194,0.05,669.0,Sobol1,RBF,0.014194587564851428,0.9875571542070201,0.020132930625428334,0.9319322666478678
195,0.05,669.0,Sobol2,RBF,0.02115005512377801,0.9661111077909821,0.021475292973734527,0.9107229967406552
196,0.05,669.0,Grid1296,Matern,0.005644367214446688,0.996613427294863,0.06206540598516611,0.5531261088433197
197,0.05,669.0,Grid2401,Matern,0.01845364015335417,0.8095942615534646,0.045576323017674135,0.8731677916195871
198,0.05,669.0,Sobol1,Matern,0.010451760610485075,0.9923373496051434,0.016156907287547578,0.9510440315907163
199,0.05,669.0,Sobol2,Matern,0.013016674948080065,0.9804548579757492,0.01611138675664062,0.950247721510292
200,0.05,669.0,Grid1296,RQ,0.015524715569066027,0.9559442134019976,0.0591501800785645,0.7587957003273895
201,0.05,669.0,Grid2401,RQ,0.015161729522475492,0.8741929541994676,0.0946834686505629,0.2953122482905457
202,0.05,669.0,Sobol1,RQ,0.014008777478899774,0.9846341850181803,0.017538418532971358,0.947847447011685
203,0.05,669.0,Sobol2,RQ,0.015114807527706145,0.9790232431773226,0.01652305539818729,0.9518330919720059
204,0.05,530.0,Grid1296,RBF,0.022776187561437844,0.9296071759579941,0.5555142675391247,-16.286941669245113
205,0.05,530.0,Grid2401,RBF,0.06778546496425863,0.0007167762957416279,0.7189738560939961,-23.06004162269757
206,0.05,530.0,Sobol1,RBF,0.012501836265327483,0.9759760681543738,0.020247905283673564,0.9284087490243127
207,0.05,530.0,Sobol2,RBF,0.03446701030480709,0.928411176297053,0.02321225166465784,0.8930617614697108
208,0.05,530.0,Grid1296,Matern,0.008310959793324295,0.9917754539434274,0.06133050788979625,0.5659716992501354
209,0.05,530.0,Grid2401,Matern,0.020606683728519103,0.6747941934799839,0.04323955866841572,0.8844843642002324
210,0.05,530.0,Sobol1,Matern,0.008306336553453074,0.9918942479766245,0.015983261542939404,0.9513812538260777
211,0.05,530.0,Sobol2,Matern,0.023199120298703538,0.9658412101386441,0.01632382262082668,0.9493860148219007
212,0.05,530.0,Grid1296,RQ,0.015174295523758539,0.9512973389355719,0.05886069785206737,0.7609805370175857
213,0.05,530.0,Grid2401,RQ,0.019105019684944127,0.7532218166602693,0.09459441395877108,0.29548363295622415
214,0.05,530.0,Sobol1,RQ,0.01339878727295434,0.975816584367497,0.017438569768412265,0.9481463726572648
215,0.05,530.0,Sobol2,RQ,0.03015170916084362,0.9438220035670657,0.01668416352548105,0.9514108713425935
216,0.05,999.0,Grid1296,RBF,0.02764723414896417,0.8906089214160333,0.571359329481198,-17.187450484281527
217,0.05,999.0,Grid2401,RBF,0.07158605673892843,-1.600062753039929,0.7192768210857575,-23.07230544508446
218,0.05,999.0,Sobol1,RBF,0.016723397808740673,0.9854861339370015,0.020723498415126065,0.9255200095453205
219,0.05,999.0,Sobol2,RBF,0.021612677610431934,0.9504540956307089,0.02255866427103292,0.9021929454972731
220,0.05,999.0,Grid1296,Matern,0.009611507371311737,0.9891227659252474,0.0617684910497952,0.5611128823876967
221,0.05,999.0,Grid2401,Matern,0.013310863480796853,0.9412737085774645,0.051631045876029284,0.8410918601488303
222,0.05,999.0,Sobol1,Matern,0.014095092257544701,0.9871596705386602,0.015927735891174123,0.9515676151880018
223,0.05,999.0,Sobol2,Matern,0.012523513856082876,0.9784789838903376,0.016164035850971457,0.9500799494296576
224,0.05,999.0,Grid1296,RQ,0.02269779566906332,0.9168737883936903,0.05924594769656275,0.7572315616068804
225,0.05,999.0,Grid2401,RQ,0.011773308632769111,0.9533536898613606,0.09503996509632738,0.2908216065019479
226,0.05,999.0,Sobol1,RQ,0.022879507775251662,0.9632874483543876,0.017487974106244548,0.947972391433892
227,0.05,999.0,Sobol2,RQ,0.01450054891381321,0.9794688424978888,0.016543108995533077,0.9519819962966098
228,0.05,794.0,Grid1296,RBF,1.0,-100.39993837382308,1.0,-43.214781562204614
229,0.05,794.0,Grid2401,RBF,1.0,-106.04985440728527,1.0,-39.39928014384073
230,0.05,794.0,Sobol1,RBF,1.0,-46.474874146042765,1.0,-53.9800661222328
231,0.05,794.0,Sobol2,RBF,1.0,-32.899316873335316,1.0,-55.45585703501171
232,0.05,794.0,Grid1296,Matern,1.0,-100.39993837382308,1.0,-43.214781562204614
233,0.05,794.0,Grid2401,Matern,1.0,-106.04985440728527,1.0,-39.39928014384073
234,0.05,794.0,Sobol1,Matern,0.006883088873167363,0.9940298804130835,0.016002913089947498,0.9511615389967866
235,0.05,794.0,Sobol2,Matern,0.9999999999999968,-32.89931687333509,0.9999998903634303,-55.45584623139481
236,0.05,794.0,Grid1296,RQ,0.009596559535632562,0.969491152083416,0.058618144841581774,0.7626972383845317
237,0.05,794.0,Grid2401,RQ,0.01774118406874718,0.8035293593266559,0.09507304698930351,0.28901477149644705
238,0.05,794.0,Sobol1,RQ,0.009347474156703518,0.9892903575694001,0.017372148816648753,0.9482815088146264
239,0.05,794.0,Sobol2,RQ,0.025049306801095902,0.9461047075432703,0.016504285233585627,0.951775002883457
240,0.05,936.0,Grid1296,RBF,0.021576457439257218,0.9453769444573094,0.5646225410789266,-16.812368774677388
241,0.05,936.0,Grid2401,RBF,0.08023132916827792,-3.2897372350066005,0.7123522326538262,-22.69206677542335
242,0.05,936.0,Sobol1,RBF,0.01085130166548085,0.9884716974971516,0.01980284077481456,0.9318012224519356
243,0.05,936.0,Sobol2,RBF,0.025664099402156255,0.9618230337247298,0.022668565762079828,0.8974775949975045
244,0.05,936.0,Grid1296,Matern,0.007168290571321948,0.9937437639443955,0.061712029603426394,0.5620002723386162
245,0.05,936.0,Grid2401,Matern,0.015222962283295532,0.8983162514753235,0.051105830227618644,0.8439781688489314
246,0.05,936.0,Sobol1,Matern,0.007034362215041078,0.9959586749959741,0.01591281209594714,0.951990305100798
247,0.05,936.0,Sobol2,Matern,0.020621132804400845,0.9729629795934149,0.016090622196891315,0.9498612953191237
248,0.05,936.0,Grid1296,RQ,0.014267466370635367,0.9633887924071338,0.05878490933736783,0.7625898425960274
