,ratio,rndint,dataset,mape_test,r2_test,mape_interpolation,r2_interpolation
153,0.05,996.0,Sobol2,0.0052178811872856,0.9975711566615104,0.0136619654100201,0.9595454190609808
154,0.25,877.0,Sobol1,0.0052183157376138,0.9976535825117426,0.0150949416552685,0.9507656192503688
155,0.05,669.0,Sobol1,0.0052191439774051,0.997778261556663,0.0158538996709828,0.9436747301774696
156,0.35,816.0,Sobol1,0.0052242008458009,0.9973507487166186,0.0148442142669696,0.952587678991793
157,0.15,936.0,Sobol1,0.0052244211054447,0.9982722619492256,0.0157762408449421,0.9449930478283928
158,0.1,936.0,Sobol1,0.0052296099678445,0.9981202559157368,0.0158998415733623,0.9437144344026208
159,0.25,180.0,Sobol1,0.0052423372121294,0.996408924294286,0.0151322570168617,0.9506154411909276
160,0.15,297.0,Sobol1,0.0052466198241272,0.99789915107088,0.0153887350253166,0.9486997629520024
161,0.2,633.0,Sobol1,0.0052520394492994,0.9977525560415442,0.0150140669607646,0.9538907634041373
162,0.2,562.0,Sobol1,0.0052534584259643,0.99780679830595,0.0153600446017623,0.9475439218854452
163,0.1,554.0,Sobol1,0.005255062370133,0.9976444551729868,0.0156505859378698,0.9474174974609882
164,0.2,222.0,Sobol1,0.005255347111548,0.9976003739835576,0.0151801741085128,0.9499825556997744
165,0.15,510.0,Sobol1,0.0052647216360447,0.9973041880704993,0.0158815139270687,0.9457377773450552
166,0.15,510.0,Sobol1,0.0052700947553805,0.9975532126526344,0.0153713733747386,0.951012900099916
167,0.05,854.0,Sobol1,0.0052702353255502,0.9974319990925146,0.0153728878085183,0.9503874783835334
168,0.1,510.0,Sobol1,0.005273260285743,0.996826718080398,0.015928028601709,0.9414806753929136
169,0.15,669.0,Sobol1,0.0052772105451494,0.9982196518354648,0.0151113808014708,0.9528561362274334
170,0.2,297.0,Sobol1,0.0052842828723039,0.9979905883445774,0.0152656628349593,0.9495283118669522
171,0.15,510.0,Sobol1,0.0052844358167579,0.9968458286165276,0.0163123620775244,0.9384218996166402
172,0.05,854.0,Sobol2,0.0052944545645837,0.9968358985090228,0.0140689483721898,0.9462924731028886
173,0.3,180.0,Sobol1,0.0052950373791348,0.9968187460267364,0.0152885346821878,0.9480516547495084
174,0.2,996.0,Sobol1,0.0052959152246879,0.9977632717484244,0.0154269239537304,0.9450245566028412
175,0.1,554.0,Sobol1,0.0052964534643597,0.9965913907794508,0.0161522889478525,0.9417604761013924
176,0.1,928.0,Sobol1,0.005307900435858,0.9975605468901932,0.0154308493747336,0.950541844608624
177,0.1,562.0,Sobol1,0.0053084467403803,0.998298815603076,0.0156498541694827,0.9461966070823332
178,0.3,725.0,Sobol1,0.005308735629686,0.997126622207919,0.014882472968235,0.9524390368852524
179,0.1,588.0,Sobol1,0.0053097321259751,0.997991453847548,0.0155900464570335,0.947475555322378
180,0.05,996.0,Sobol1,0.0053109490104393,0.9986124785914792,0.0157694151300637,0.9463904171602135
181,0.1,554.0,Sobol1,0.0053112624430227,0.997891250583904,0.0152193521457071,0.9517303448183492
182,0.05,249.0,Sobol1,0.0053233379613833,0.9969999327854184,0.015416162567968,0.9500339813882024
183,0.25,791.0,Sobol1,0.0053271651823405,0.996440564808704,0.0159900230694008,0.9444273604832863
184,0.2,395.0,Sobol1,0.0053280500389715,0.99807622232385,0.0152142366659018,0.9528378142817898
185,0.1,588.0,Sobol1,0.0053302156984932,0.9979929896508344,0.0152433694972327,0.9515152998714488
186,0.15,936.0,Sobol1,0.0053311692621305,0.998467446786404,0.0153024220468146,0.9498030421313994
187,0.2,395.0,Sobol1,0.0053315845723358,0.9971133992367764,0.0162984343751655,0.9406191092792338
188,0.1,111.0,Sobol1,0.0053337911662272,0.9971371699412086,0.0176610598538053,0.927671303768919
189,0.25,816.0,Sobol1,0.0053344235664835,0.9965162529146416,0.0152115932963681,0.9488794983086556
190,0.1,395.0,Sobol1,0.0053345154178632,0.9979696581248518,0.015696593126712,0.9466827809863092
191,0.15,510.0,Sobol1,0.0053360839396095,0.9971230694487172,0.018990717419632,0.909619092887542
192,0.1,510.0,Sobol1,0.0053448100960524,0.997137167497934,0.0159124533923873,0.9457684135099312
193,0.15,180.0,Sobol1,0.0053453060754943,0.9961078908850532,0.0155036376866644,0.9479027955241648
194,0.25,725.0,Sobol1,0.0053525315770533,0.9970553137603136,0.015225113999381,0.9510139617652464
195,0.1,854.0,Sobol1,0.0053603258998197,0.9957632484856348,0.0160078561150426,0.9453229167148408
196,0.1,669.0,Sobol1,0.0053611705070146,0.9974913486508076,0.0180850066216444,0.9246242233891432
197,0.1,633.0,Sobol1,0.0053641503011872,0.9965945151900883,0.0180288219292171,0.9194552026276576
198,0.1,877.0,Sobol1,0.005364834475131,0.9978752042964733,0.0178171398172343,0.9256435876162176
199,0.15,395.0,Sobol1,0.0053715240077086,0.9973626786834272,0.0158677570616856,0.9455373057388604
200,0.05,759.0,Sobol1,0.0053720817920491,0.9966301696050924,0.016157966395303,0.9400153455849234
201,0.05,725.0,Sobol2,0.0053724268149591,0.9981885890758002,0.0137521368963953,0.9586380300217088
202,0.15,395.0,Sobol1,0.0053769374853749,0.9966981565067916,0.0163036539608011,0.9398501240428216
203,0.1,791.0,Sobol1,0.0053817888555866,0.9963536472259812,0.016239874577225,0.9397955976376632
204,0.1,395.0,Sobol1,0.0053849924088839,0.9984082805759352,0.0153248215095359,0.9513048591481664
205,0.15,928.0,Sobol1,0.0053854370431207,0.9976834975089378,0.0153162146400031,0.9508248045327244
206,0.2,725.0,Sobol1,0.0053855500865239,0.9959970342631334,0.0150026809838388,0.9503137394055126
207,0.15,78.0,Sobol1,0.0053859851266583,0.9973462837211132,0.0153633030773012,0.9500605225324952
208,0.1,669.0,Sobol1,0.005387070811417,0.9979573321322788,0.0152111057503222,0.9517958897039348
209,0.05,593.0,Sobol1,0.0053914408324267,0.9976885264709012,0.015505602011282,0.9499928720946372
210,0.3,633.0,Sobol1,0.0053924419423157,0.9955846405141054,0.0161556886862664,0.9384347297599293
211,0.3,816.0,Sobol1,0.0053960639724399,0.9968722225076024,0.0150164993566128,0.951085016769732
212,0.3,725.0,Sobol1,0.0054023486982243,0.9968093777487832,0.0149542936411823,0.951470016814988
213,0.1,936.0,Sobol1,0.0054028657184256,0.9983685610263272,0.0152176136048653,0.951856349150914
214,0.1,510.0,Sobol1,0.005418959114566,0.99707609860463,0.0183719755623077,0.9183064719321044
215,0.05,554.0,Sobol1,0.0054211025188905,0.994392930630468,0.018286071021851,0.921658488576938
216,0.15,928.0,Sobol1,0.0054255203680588,0.9959763671837564,0.0178769945411384,0.9287133016822164
217,0.15,711.0,Sobol1,0.0054268359027183,0.997867424306144,0.0150681649422594,0.9523193566590218
218,0.25,395.0,Sobol1,0.0054337803890472,0.9972703791560392,0.0155707160189919,0.947601077438255
219,0.25,510.0,Sobol1,0.0054344450934403,0.997142946165009,0.0165830695249984,0.9355853070865132
220,0.1,854.0,Sobol1,0.0054353267267194,0.9946921684858886,0.0160306683323107,0.9413531701324884
